Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133104-175137,QB,Fernando,Fernando Mendoza,Mendoza,,0,6700,MIA@LV,LV,MIA,,,,,,QB
133104-120033,WR,Rome,Rome Odunze,Odunze,10.064285278320312,14,6700,CHI@CAR,CHI,CAR,,,,,,WR/FLEX
133104-22038,QB,Kirk,Kirk Cousins,Cousins,11.154000091552735,10,6700,MIA@LV,LV,MIA,,,,,,QB
133104-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,5.543749809265137,16,6700,CLE@JAC,JAC,CLE,,,,,,RB/FLEX
133104-26483,QB,Geno,Geno Smith,Smith,12.926666259765625,15,6700,NYJ@TEN,NYJ,TEN,,,,,,QB
133104-137516,WR,Parker,Parker Washington,Washington,10.888235653147978,17,6600,CLE@JAC,JAC,CLE,,,,,,WR/FLEX
133104-168356,QB,Cam,Cam Ward,Ward,11.39176492130055,17,6600,NYJ@TEN,TEN,NYJ,,,,,,QB
133104-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,12.764285496303014,14,6600,ATL@PIT,ATL,PIT,Q,Back,,,,QB
133104-91598,RB,D'Andre,D'Andre Swift,Swift,13.577777438693577,18,6600,CHI@CAR,CHI,CAR,,,,,,RB/FLEX
133104-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,14.03111097547743,9,6600,ATL@PIT,ATL,PIT,Q,Knee - acl,,,,QB
133104-133472,WR,Ladd,Ladd McConkey,McConkey,9.329412123736214,17,6500,ARI@LAC,LAC,ARI,,,,,,WR/FLEX
133104-112057,RB,Jaylen,Jaylen Warren,Warren,12.252941355985755,17,6500,ATL@PIT,PIT,ATL,,,,,,RB/FLEX
133104-63043,WR,DJ,DJ Moore,Moore,9.188421149002878,19,6500,BUF@HOU,BUF,HOU,,,,,,WR/FLEX
133104-54879,QB,Deshaun,Deshaun Watson,Watson,11.388571602957589,7,6500,CLE@JAC,CLE,JAC,,,,,,QB
133104-87691,QB,Malik,Malik Willis,Willis,12.795000076293945,4,6500,MIA@LV,MIA,LV,,,,,,QB
133104-184183,QB,Shedeur,Shedeur Sanders,Sanders,12.237500190734863,8,6500,CLE@JAC,CLE,JAC,,,,,,QB
133104-152655,WR,Emeka,Emeka Egbuka,Egbuka,10.188235114602481,17,6400,TB@CIN,TB,CIN,,,,,,WR/FLEX
133104-103698,QB,Dillon,Dillon Gabriel,Gabriel,7.208000183105469,10,6400,CLE@JAC,CLE,JAC,,,,,,QB
133104-169410,RB,Quinshon,Quinshon Judkins,Judkins,11.414285932268415,14,6400,CLE@JAC,CLE,JAC,,,,,,RB/FLEX
133104-169776,WR,Christian,Christian Watson,Watson,11.727272727272727,11,6400,GB@MIN,GB,MIN,,,,,,WR/FLEX
133104-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,7.722222222222222,9,6300,TB@CIN,TB,CIN,,,,,,WR/FLEX
133104-89612,WR,Michael,Michael Wilson,Wilson,11.211765064912683,17,6300,ARI@LAC,ARI,LAC,,,,,,WR/FLEX
133104-160303,TE,Tucker,Tucker Kraft,Kraft,13.399999618530273,8,6300,GB@MIN,GB,MIN,Q,Knee - acl,,,,TE/FLEX
133104-73273,RB,David,David Montgomery,Montgomery,9.289411656996784,17,6300,BUF@HOU,HOU,BUF,,,,,,RB/FLEX
133104-44715,QB,Cooper,Cooper Rush,Rush,1.4299999475479126,4,6300,ATL@PIT,ATL,PIT,,,,,,QB
133104-152575,QB,J.J.,J.J. McCarthy,McCarthy,13.73800048828125,10,6300,GB@MIN,MIN,GB,,,,,,QB
133104-166092,WR,Luther,Luther Burden III,Burden III,7.035294027889476,17,6200,CHI@CAR,CHI,CAR,Q,Groin,,,,WR/FLEX
133104-138774,RB,Woody,Woody Marks,Marks,8.994444105360243,18,6200,BUF@HOU,HOU,BUF,,,,,,RB/FLEX
133104-56250,WR,Terry,Terry McLaurin,McLaurin,9.519999694824218,10,6200,WAS@PHI,WAS,PHI,,,,,,WR/FLEX
133104-129210,WR,Jordan,Jordan Addison,Addison,8.578571319580078,14,6100,GB@MIN,MIN,GB,Q,Thumb,,,,WR/FLEX
133104-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,8.260000101725261,15,6100,CLE@JAC,JAC,CLE,,,,,,WR/FLEX
133104-72297,RB,Rico,Rico Dowdle,Dowdle,11.544444613986546,18,6100,ATL@PIT,PIT,ATL,,,,,,RB/FLEX
133104-103444,QB,Jacob,Jacob Clark,Clark,,0,6000,MIA@LV,LV,MIA,,,,,,QB
133104-14377,QB,Tyrod,Tyrod Taylor,Taylor,10.743333180745443,6,6000,GB@MIN,GB,MIN,,,,,,QB
133104-243753,QB,Jack,Jack Strand,Strand,,0,6000,ATL@PIT,ATL,PIT,,,,,,QB
133104-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,GB@MIN,GB,MIN,,,,,,QB
133104-152673,QB,Athan,Athan Kaliakmanis,Kaliakmanis,,0,6000,WAS@PHI,WAS,PHI,,,,,,QB
133104-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,BUF@HOU,HOU,BUF,,,,,,QB
133104-160938,QB,Quinn,Quinn Ewers,Ewers,8.920000076293945,4,6000,MIA@LV,MIA,LV,,,,,,QB
133104-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,TB@CIN,CIN,TB,,,,,,QB
133104-149696,QB,Trey,Trey Lance,Lance,3.634999990463257,4,6000,ARI@LAC,LAC,ARI,,,,,,QB
133104-93382,QB,Aidan,Aidan O'Connell,O'Connell,4.78000020980835,1,6000,MIA@LV,LV,MIA,,,,,,QB
133104-69833,QB,Shane,Shane Buechele,Buechele,3.9200000762939453,1,6000,BUF@HOU,BUF,HOU,,,,,,QB
133104-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,NYJ@TEN,TEN,NYJ,,,,,,QB
133104-152820,QB,Taylen,Taylen Green,Green,,0,6000,CLE@JAC,CLE,JAC,,,,,,QB
